id;Название;Реставрация;Размер;Автор;Материал;Персоналии;Уточняющая датировка;Век;Страна;Место хранения;Иконография;Тип изображения;Фрагменты
5561;Димитрий царевич;False;153,0 х 74,5 х 4,0 см;None;Дерево, левкас, золото, серебро, камни драгоценные, шелк, жемчуг;Димитрий Угличский;начало;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Ростовое;None
5562;Иоанн Златоуст (из деисусного чина);False;212,0х64,7х3,8 см;None;Дерево, левкас, темпера;Святитель Иоанн Златоуст;1626 - 1628 гг.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Ростовое;None
5563;Никола Чудотворец (из деисусного чина);False;211,8х64,7х3,5 см;None;Дерево, левкас, темпера;Святитель Николай Мирликийский;1626 - 1628 гг.;17;None;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Ростовое;None
5564;Василий Великий (из деисусного чина);False;213,0х63,0х3,7 см;None;Дерево, левкас, темпера;Святитель Василий Великий;1626 - 1628 гг.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Ростовое;None
5565;Алексий, митрополит Московский (из деисусного чина);False;213,0х63,0х3,7 см;None;Дерево, левкас, темпера;Святитель Алексей, митрополит московский;1626 - 1628 гг.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Ростовое;None
5566;Павел апостол (из деисусного чина);False;211,3х64,0х4,0 см;None;Дерево, левкас, темпера;Апостол Павел;1626 - 1628 гг.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Ростовое;None
5567;Иоанн Предтеча (из деисусного чина);False;211,3х63,7х3,5 см;None;Дерево, левкас, темпера;Иоанн Предтеча;1626 - 1628 гг.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Ростовое;None
5568;Михаил архангел (из деисусного чина);False;213,0х63,0х3,5 см;None;Дерево, левкас, темпера;Архангел Михаил;1626 - 1628 гг.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Ангелы;Ростовое;None
5569;Петр митрополит Московский (из деисусного чина);False;213,0х63,0х3,5 см;None;Дерево, левкас, темпера;Святитель Петр митрополит Московский;1626 - 1628 гг.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Ростовое;None
5570;Гавриил архангел (из деисусного чина);False;211,0х68,0х4,0 см;None;Дерево, левкас, темпера;Архангел Гавриил;1626 - 1628 гг.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Ангелы;Ростовое;None
5571;Предста Царица;False;141,0х117,0х3,0 см;None;Дерево, левкас, темпера;Спаситель, Богородица, Иоанн Предтеча;первая половина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Сложные композиции;Ростовое;None
5572;Аарон пророк;False;90,0х68,0х3,2 см;None;Дерево, паволока, левкас;Пророк Аарон;1626 - 1628 гг.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Поясное;None
5573;Никола Можайский, в житии;False;107,0 х 80,0 см;None;Дерево, левкас, паволока;Святитель Николай Мирликийский;17 - 18 вв.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Ростовое с клеймами;None
5574;Иоанн Богослов;False;29,2 х 23,5 см;Василий Познанский;Объярь, шелк репсового плетения, дерево;Апостол Иоанн Богослов;None;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Поясное;None
5580;Чудо великомученика Димитрия Солунского о царе Калояне, с 12 клеймами жития;False;120,5 х 86,4;None;Дерево, левкас, темпера;Димитрий Солунский;конец;18;Россия;Дом икон на Спиридоновке;Святые;Конное;Чудо о девицах и шитом образе святого
5581;Ангел из композиции Восстание из Гроба;False;75,2 х 34;None;Дерево, левкас, темпера;Ангел;начало;19;Россия;Дом икон на Спиридоновке;Ангелы;Ростовое;None
5582;Спящий воин из композиции Восстание из гроба;False;63 х 40,8;None;Дерево, левкас, темпера;Воин;начало;19;Россия;Дом икон на Спиридоновке;Сложные композиции;Ростовое;None
5583;Иисус Христос из композиции Восстание из гроба;False;94,5 х 45;None;Дерево, левкас, темпера;Спаситель;начало;19;Россия;Дом икон на Спиридоновке;Спаситель;Ростовое;None
5584;Деисус с избранными святыми;False;89,8 х 73,4;None;Дерево, левкас, темпера;Спаситель, святые;конец;18;Россия;Дом икон на Спиридоновке;Сложные композиции;Многофигурное;None
5589;Алексий, митрополит Московский;False;30,0 х 28,0 см;None;Дерево, левкас, ткань, серебро;Святитель Алексей, митрополит московский;первая половина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Ростовое;None
5590;Благовещение (с акафистом);False;154,5 х 129,0 х 2,2 см;None;Дерево, паволока, левкас;Богоматерь, Архангел Гавриил;первая четверть;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Праздники;Сюжетная композиция с клеймами;None
5591;Феодор Тирон;False;183,0 х 107,0 см;None;Дерево, паволока, левкас;Феодор Тирон;None;15;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Ростовое;None
5592;Михаил архангел (чудо в Хонех);False;30,0 х 28,0 см;None;Дерево, левкас, ткань, серебро;Архангел Михаил, преп. Архипп;конец;16;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Ангелы;Сюжетная композиция;None
5593;Димитрий Солунский;False;48,0 х 16,5 х 2,5 см;None;Дерево, левкас, холст;Великомученик Димитрий Солунский;1582 г.;16;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Ростовое;None
5594;Уар мученик и Димитрий царевич;False;39,0 х 31,5 х 3,5 см;None;Дерево, левкас, ткань, серебро;Великомученик Уар и св. благоверный великий князь Дмитрий Иванович;первая половина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Ростовое;None
5595;Богоматерь с Младенцем (на престоле, с предстоящими);False;34,8 х 30,3 см;None;Дерево, серебро, левкас, ткань;Богоматерь, Спаситель, Алексий, Феодор Пергийский, Михаил Малеин, Евдокия;первая половина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Богоматерь;Многофигурное;None
5597;Четырехчастная икона: Богоматерь, Архангел Михаил, Сретение, Рождество Христово;False;123,5 х 68,5 х 3,0 см;None;Дерево, паволока, левкас;Архангел Михаил, Спаситель, Богородица, прав.Симеон Богоприимец, прав. Анна Пророчица, прав.Иосиф Обручник, служанки, ангелы, волхвы;первая половина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Сложные композиции;Ростовое и сюжетная композиция;None
5598;Спас в силах;False;213,0 х 127,0 х 4,0 см;None;Дерево, паволока, левкас;Спаситель;около 1627 г.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Спаситель;Тронное;None
5599;Вход в Иерусалим;False;78,0 х 63,0 х 3,3 см;None;Дерево, левкас, темпера;Спаситель, апостолы;1626 г.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Страстной и Пасхальный циклы;Сюжетная композиция;None
